SampleID,X chromosome,Chromosome 8
OBG0044,951,1691
OBG0068,1468,2218
OBG0111,832,1650
OBG0115,964,1568
OBG0120,824,1674
OBG0133,1316,2134
OBG0156,997,1600
OBG0170,1390,1979
OBG0174,1426,2158
OBG0175,607,1594
OBG0178,1157,1906
OBG0166,804,1620
OBG0022,1125,1964
OBG0024,1206,2152
OBG0026,1907,2912
OBG0028,1706,2730
OBG0030,1842,3126
OBG0039,1086,2359
OBG0050,1786,2553
OBG0051,1107,2154
OBG0066,2010,2906
OBG0121,1805,2747
OBG0138,1044,2268
OBG0180,1110,2257
OBG0188,1940,2874
OBG0201,1757,2741
OBG0205,1275,2393
OBG0289,2020,2805
OBG0338,1049,2093
OBG0342,1169,2139
