Sample_ID,Site_A,Site_A,Site_B,Site_B
Sample_ID,Whole_transcriptome,Chromosome_X,Whole_transcriptome,Chromosome_X
OBG0044,124821361,2570404,104951941,1956346
OBG0068,96468961,2028381,72630017,1632320
OBG0111,105360653,2210820,87310785,1746585
OBG0115,115047845,2233186,81406062,1794380
OBG0120,109637796,2360408,78369660,1653373
OBG0133,106542634,2158139,75940154,1709600
OBG0156,123238340,2617278,79648267,1954931
OBG0170,104502826,2539731,101090503,2263802
OBG0174,29178948,589785,95550124,1787220
OBG0175,98337411,2134510,85986263,2061137
OBG0178,114938081,2447404,86675194,1916321
OBG0166,114474479,2532057,93337543,2043997
OBG0022,79624620,1846538,77386563,2048223
OBG0024,56525905,1464827,136862205,3467075
OBG0026,59648434,1014174,86201051,1772717
OBG0028,69962192,1894168,42201549,964035
OBG0030,75533477,1797735,72423761,1799896
OBG0039,81923032,1986227,60580683,1631386
OBG0050,72749515,1711200,62546230,1564591
OBG0051,78292464,1885179,61467811,1513737
OBG0066,74368314,1535224,80264229,2054109
OBG0121,95299259,2477900,40005508,1132595
OBG0138,217429809,5692793,73761980,1578129
OBG0180,72664680,1974885,29697974,837063
OBG0188,21675595,617351,79407643,2295587
OBG0201,88301001,2190583,80598634,2085968
OBG0205,49073152,1316484,40796256,1070053
OBG0289,72176230,1850324,78471721,1954236
OBG0338,75400996,1972344,57209598,1381726
OBG0342,80308862,1916568,85785465,2074156
OBG0112,85422828,1711064,101008695,1885356
OBG0116,87103752,1784717,90367329,1973413
OBG0117,96821940,2033914,79729713,1584458
OBG0118,93605715,1801998,82778765,1631758
OBG0122,89309466,1909567,99285902,2046890
OBG0123,91335317,1868733,97748069,1999886
OBG0126,85807804,1622052,114321694,1980624
OBG0130,84506896,1643427,85832268,1936503
OBG0132,89255024,1902691,81314046,1640555
OBG0158,86184553,1656860,71260214,1451010
YPOPS0006,84352730,1610909,91022549,1850334
OBG0053,67362511,1321401,80179120,1749253
