Sample_ID,Chromosome_X,Chromosome_X,Chromosome_8,Chromosome_8
Sample_ID,Site_A,Site_B,Site_A,Site_B
OBG0044,97,87,219,214
OBG0068,100,94,251,258
OBG0111,74,65,170,161
OBG0115,76,68,166,151
OBG0120,74,57,241,197
OBG0133,103,94,239,211
OBG0156,100,93,218,222
OBG0170,120,124,270,268
OBG0174,62,120,116,239
OBG0175,61,87,167,182
OBG0178,89,87,223,219
OBG0166,89,67,193,176
OBG0022,119,112,234,244
OBG0024,100,212,177,344
OBG0026,109,125,262,273
OBG0028,92,159,153,253
OBG0030,165,168,362,373
OBG0039,68,94,225,297
OBG0050,160,148,256,274
OBG0051,100,91,249,214
OBG0066,160,127,422,355
OBG0121,186,95,338,176
OBG0138,191,77,534,212
OBG0180,92,43,262,133
OBG0188,59,183,111,336
OBG0201,125,131,304,328
OBG0205,71,61,169,144
OBG0289,161,171,319,316
OBG0338,87,63,244,173
OBG0342,92,96,255,288
