GTEx_tissues,Number_of_samples,Number_of_skewed_samples
Adipose_Subcutaneous,194,19
Adipose_Visceral_Omentum,149,11
Adrenal_Gland,94,18
Artery_Aorta,138,7
Artery_Coronary,84,11
Artery_Tibial,187,14
Brain_Amygdala,37,2
Brain_Anterior_cingulate_cortex_BA24,42,2
Brain_Caudate_basal_ganglia,52,3
Brain_Cerebellar_Hemisphere,51,5
Brain_Cerebellum,58,4
Brain_Cortex,64,4
Brain_Frontal_Cortex_BA9,48,2
Brain_Hippocampus,49,2
Brain_Hypothalamus,47,1
Brain_Nucleus_accumbens_basal_ganglia,55,4
Brain_Putamen_basal_ganglia,42,3
Brain_Spinal_cord_cervical_c-1,48,1
Brain_Substantia_nigra,33,2
Breast_Mammary_Tissue,151,20
Colon_Sigmoid,113,3
Colon_Transverse,136,15
Esophagus_Gastroesophageal_Junction,110,3
Esophagus_Mucosa,176,32
Esophagus_Muscularis,162,9
Heart_Atrial_Appendage,119,9
Heart_Left_Ventricle,122,21
Kidney_Cortex,18,0
Liver,62,12
Lung,166,13
Minor_Salivary_Gland,40,4
Muscle_Skeletal,237,17
Nerve_Tibial,177,13
Ovary,167,21
Pancreas,116,23
Pituitary,71,4
Skin_Not_Sun_Exposed_Suprapubic,169,28
Skin_Sun_Exposed_Lower_leg,208,35
Small_Intestine_Terminal_Ileum,63,5
Spleen,86,4
Stomach,122,15
Thyroid,196,14
Uterus,129,10
Vagina,141,20
Whole_Blood,229,60
