Gene	GTEx_status	Placenta_status
ABCB7	Inactivated	Inactivated
ABCD1	Inactivated	Inactivated
ACSL4	Inactivated	Inactivated
AF241726.2	Inactivated	Inactivated
AIFM1	Inactivated	Inactivated
AL034405.1	Inactivated	Inactivated
ALG13	Inactivated	Inactivated
AMOT	Inactivated	Inactivated
APLN	Inactivated	Inactivated
APOO	Inactivated	Inactivated
APOOL	Inactivated	Inactivated
ARAF	Inactivated	Inactivated
ARMCX3	Inactivated	Inactivated
ATP6AP1	Inactivated	Inactivated
ATP6AP2	Inactivated	Inactivated
BCORL1	Inactivated	Inactivated
BEX4	Inactivated	Inactivated
C1GALT1C1	Inactivated	Inactivated
CCDC120	Inactivated	Inactivated
CD99L2	Inactivated	Inactivated
CDKL5	Inactivated	Inactivated
CLCN5	Inactivated	Inactivated
COL4A5	Inactivated	Inactivated
CXorf40B	Inactivated	Inactivated
DIAPH2	Inactivated	Inactivated
DKC1	Inactivated	Inactivated
DLG3	Inactivated	Inactivated
ELF4	Inactivated	Inactivated
ELK1	Inactivated	Inactivated
FAM122B	Inactivated	Inactivated
FMR1	Inactivated	Inactivated
FTX	Inactivated	Inactivated
G6PD	Inactivated	Inactivated
GABRE	Inactivated	Inactivated
GDI1	Inactivated	Inactivated
GPKOW	Inactivated	Inactivated
GRIPAP1	Inactivated	Inactivated
HMGB3	Inactivated	Inactivated
HTATSF1	Inactivated	Inactivated
HUWE1	Inactivated	Inactivated
IDS	Inactivated	Inactivated
KLF8	Inactivated	Inactivated
LAGE3	Inactivated	Inactivated
LAMP2	Inactivated	Inactivated
MAGED1	Inactivated	Inactivated
MAGED2	Inactivated	Inactivated
MAGT1	Inactivated	Inactivated
MAOA	Inactivated	Inactivated
MAP7D2	Inactivated	Inactivated
MED12	Inactivated	Inactivated
MED14	Inactivated	Inactivated
MORC4	Inactivated	Inactivated
MORF4L2	Inactivated	Inactivated
MOSPD2	Inactivated	Inactivated
MPP1	Inactivated	Inactivated
MTM1	Inactivated	Inactivated
MTMR1	Inactivated	Inactivated
MUM1L1	Inactivated	Inactivated
NDUFB11	Inactivated	Inactivated
NONO	Inactivated	Inactivated
NRK	Inactivated	Inactivated
OPHN1	Inactivated	Inactivated
OTUD5	Inactivated	Inactivated
PCDH11X	Inactivated	Inactivated
PDHA1	Inactivated	Inactivated
PDK3	Inactivated	Inactivated
PHF8	Inactivated	Inactivated
PHKA2	Inactivated	Inactivated
PJA1	Inactivated	Inactivated
PLXNA3	Inactivated	Inactivated
RAP2C-AS1	Inactivated	Inactivated
RBBP7	Inactivated	Inactivated
RBM10	Inactivated	Inactivated
RBM3	Inactivated	Inactivated
RPL10	Inactivated	Inactivated
RTL8A	Inactivated	Inactivated
RTL8B	Inactivated	Inactivated
SAT1	Inactivated	Inactivated
SCML2	Inactivated	Inactivated
SHROOM2	Inactivated	Inactivated
SLC10A3	Inactivated	Inactivated
